id_1|id_2|german_group|english_group|english_labels
n02319095|657|Seeigel|Sea urchin|sea urchin
n02321529|658|Seegurke|Sea cucumber|sea cucumber, holothurian
n03584829|659|Bügeleisen|Smoothing iron|iron, smoothing iron
n03297495|660|Kaffeemaschine|Coffee maker|espresso maker
n03761084|661|Mikrowelle|Microwave|microwave, microwave oven
n03259280|662|Topf|Cooking pot|Dutch oven
n04111531|663|Drehspieß|Rotisserie|rotisserie
n04442312|664|Toaster|Toaster|toaster
n04542943|665|Waffeleisen|Waffle maker|waffle iron
n04517823|666|Staubsauger|Vacuum cleaner|vacuum, vacuum cleaner
n03207941|667|Geschirrspülmaschine|Dishwasher|dishwasher, dish washer, dishwashing machine
n04070727|668|Kühlschrank|Refrigerator|refrigerator, icebox
n04554684|669|Waschmaschine|Washing machine|washer, automatic washer, washing machine
n03133878|670|Topf|Cooking pot|Crock Pot
n03400231|671|Pfanne|Frying pan|frying pan, frypan, skillet
n04596742|672|Pfanne|Frying pan|wok
n02939185|673|Topf|Cooking pot|caldron, cauldron
n03063689|674|Kaffeekanne|Coffeepot|coffeepot
n04398044|675|Teekanne|Teapot|teapot
n04270147|676|Spachtel|Spatula|spatula
n02699494|677|Altar|Altar|altar
n04486054|678|Triumphbogen|Triumphal arch|triumphal arch
n03899768|679|Terrasse|Patio|patio, terrace
n04311004|680|Brücke|Bridge|steel arch bridge
n04366367|681|Brücke|Bridge|suspension bridge
n04532670|682|Brücke|Bridge|viaduct
n02793495|683|Scheune|Barn|barn
n03457902|684|Gewächshaus|Greenhouse|greenhouse, nursery, glasshouse
n03877845|685|Palast|Palace|palace
n03781244|686|Kloster|Monastery|monastery
n03661043|687|Bücherei|Library|library
n02727426|688|Bienenstock|Apiary|apiary, bee house
n02859443|689|Bootshaus|Boathouse|boathouse
n03028079|690|Kirche|Church|church, church building
n03788195|691|Moschee|Mosque|mosque
n04346328|692|Stupa|Stupa|stupa, tope
n03956157|693|Planetarium|Planetarium|planetarium
n04081281|694|Restaurant|Restaurant|restaurant, eating house, eating place, eatery
n03032252|695|Kino|Cinema|cinema, movie theater, movie theatre, movie house, picture palace
n03529860|696|Kino|Cinema|home theater, home theatre
n03697007|697|Sägewerk|Lumbermill|lumbermill, sawmill
n03065424|698|Spule|Spiral|coil, spiral, volute, whorl, helix
n03837869|699|Obelisk|Obelisk|obelisk
n04458633|700|Totempfahl|Totem pole|totem pole
n02980441|701|Schloss|Castle|castle
n04005630|702|Gefängnis|Prison|prison, prison house
n03461385|703|Lebensmittelmarkt|Grocery store|grocery store, grocery, food market, market
n02776631|704|Bäckerei|Bakery|bakery, bakeshop, bakehouse
n02791270|705|Friseurgeschäft|Barbershop|barbershop
n02871525|706|Buchgeschäft|Bookshop|bookshop, bookstore, bookstall
n02927161|707|Metzgerei|Butcher shop|butcher shop, meat market
n03089624|708|Süßwarengeschäft|Confectionery|confectionery, confectionary, candy store
n04200800|709|Schuhgeschäft|Shoe store|shoe shop, shoe-shop, shoe store
n04443257|710|Tabakgeschäft|Tobacco shop|tobacco shop, tobacconist shop, tobacconist
n04462240|711|Spielwarenladen|Toyshop|toyshop
n03388043|712|Brunnen|Fountain|fountain
n03042490|713|Felsenbehausung|Cliff dwelling|cliff dwelling
n04613696|714|Jurte|Yurt|yurt
n03216828|715|Dock|Dock|dock, dockage, docking facility
n02892201|716|Messing|Plaque|brass, memorial tablet, plaque
n03743016|717|Megalith|Megalith|megalith, megalithic structure
n02788148|718|Geländer|Bannister|bannister, banister, balustrade, balusters, handrail
n02894605|719|Wellenbrecher|Breakwater|breakwater, groin, groyne, mole, bulwark, seawall, jetty
n03160309|720|Damm|Dam|dam, dike, dyke
n03000134|721|Zaun|Fence|chainlink fence
n03930313|722|Zaun|Fence|picket fence, paling
n04604644|723|Zaun|Fence|worm fence, snake fence, snake-rail fence, Virginia fence
n04326547|724|Mauer|Stone wall|stone wall
n03459775|725|Gitter|Car grille|grille, radiator grille
n04239074|726|Tür|Sliding door|sliding door
n04501370|727|Drehkreuz|Turnstile|turnstile
n03792972|728|Zelt|Tent|mountain tent
n04149813|729|Anzeigetafel|Scoreboard|scoreboard
n03530642|730|Bienenwabe|Honeycomb|honeycomb
n03961711|731|Geschirrständer|Plate rack|plate rack
n03903868|732|Sockel|Pedestal|pedestal, plinth, footstall
n02814860|733|Leuchtfeuer|Beacon|beacon, lighthouse, beacon light, pharos
n07711569|734|Kartoffelpüree|Mashed potatoes|mashed potato
n07720875|735|Paprika|Bell pepper|bell pepper
n07714571|736|Kohlkopf|Cabbage|head cabbage
n07714990|737|Brokkoli|Broccoli|broccoli
n07715103|738|Blumenkohl|Cauliflower|cauliflower
n07716358|739|Zucchini|Courgette|zucchini, courgette
n07716906|740|Kürbis|Squash|spaghetti squash
n07717410|741|Kürbis|Squash|acorn squash
n07717556|742|Kürbis|Squash|butternut squash
n07718472|743|Gurke|Cucumber|cucumber, cuke
n07718747|744|Artischocke|Artichoke|artichoke, globe artichoke
n07730033|745|Artischocke|Artichoke|cardoon
n07734744|746|Pilz|Mushroom|mushroom
n04209239|747|Duschvorhang|Shower curtain|shower curtain
n03594734|748|Jeans|Jeans|jean, blue jean, denim
n02971356|749|Karton|Carton|carton
n03485794|750|Taschentuch|Handkerchief|handkerchief, hankie, hanky, hankey
n04133789|751|Sandale|Sandal|sandal
n02747177|752|Mülleimer|Wastebin|ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
n04125021|753|Tresor|Safe|safe
n07579787|754|Teller|Plate|plate
n03814906|755|Halskette|Necklace|necklace
n03134739|756|Ball|Ball|croquet ball
n03404251|757|Kleidungsstück|Clothing|fur coat
n04423845|758|Fingerhut|Thimble|thimble
n03877472|759|Schlafanzug|Pyjamas|pajama, pyjama, pj's, jammies
n04120489|760|Schuh|Shoe|running shoe
n03062245|761|Cocktail shaker|Cocktail shaker|cocktail shaker
n03014705|762|Truhe|Chest|chest
n03717622|763|Kanaldeckel|Manhole cover|manhole cover
n03777754|764|Modem|Modem|modem
n04493381|765|Badewanne|Bathtub|tub, vat
n04476259|766|Tablett|Tray|tray
n02777292|767|Schwebebalken|Balance beam|balance beam, beam
n07693725|768|Bagel|Bagel|bagel, beigel
n03998194|769|Gebetsteppich|Prayer mat|prayer rug, prayer mat
n03617480|770|Kleidungsstück|Clothing|kimono
n07590611|771|Topf|Cooking pot|hot pot, hotpot
n04579145|772|Whiskey|Whiskey jug|whiskey jug
n03623198|773|Knieschoner|Knee pad|knee pad
n07248320|774|Buch|Book|book jacket, dust cover, dust jacket, dust wrapper
n04277352|775|Spindel|Spindle|spindle
n04229816|776|Sturmhaube|Ski mask|ski mask
n02823428|777|Bierflasche|Beer bottle|beer bottle
n03127747|778|Helm|Helmet|crash helmet
n02877765|779|Flaschenverschluss|Bottlecap|bottlecap
n04435653|780|Dach|Roof|tile roof
n03724870|781|Maske|Mask|mask
n03710637|782|Badekleidung|Swimwear|maillot
n03920288|783|Petrischale|Petri dish|Petri dish
n03379051|784|Helm|Helmet|football helmet
n02807133|785|Bademütze|Swimming cap|bathing cap, swimming cap
n04399382|786|Teddy|Teddy bear|teddy, teddy bear
n03527444|787|Holster|Holster|holster
n03983396|788|Korken|Soda bottle|pop bottle, soda bottle
n03924679|789|Drucker|Printer|photocopier
n04532106|790|Kleidungsstück|Clothing|vestment
n06785654|791|Kreuzworträtsel|Crossword puzzle|crossword puzzle, crossword
n03445777|792|Ball|Ball|golf ball
n07613480|793|Trifle|Trifle|trifle
n04350905|794|Kleidungsstück|Clothing|suit, suit of clothes
n04562935|795|Wasserturm|Water tower|water tower
n03325584|796|Federboa|Feather boa|feather boa, boa
n03045698|797|Kleidungsstück|Clothing|cloak
n07892512|798|Wein|Wine|red wine
n03250847|799|Drumstick|Drumstick|drumstick
n04192698|800|Schild|Shield|shield, buckler
n03026506|801|Weihnachtsstrumpf|Christmas stocking|Christmas stocking
n03534580|802|Kleidungsstück|Clothing|hoopskirt, crinoline
n07565083|803|Speisekarte|Menu|menu
n04296562|804|Bühne|Stage|stage
n02869837|805|Haube|Bonnet|bonnet, poke bonnet
n07871810|806|Hackbraten|Meat loaf|meat loaf, meatloaf
n02799071|807|Ball|Ball|baseball
n03314780|808|Puder|Face powder|face powder
n04141327|809|Scheide|Scabbard|scabbard
n04357314|810|Sonnencreme|Sunscreen|sunscreen, sunblock, sun blocker
n02823750|811|Glas|Beer glass|beer glass
n13052670|812|Pilz|Mushroom|hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
n07583066|813|Guacamole|Guacamole|guacamole
n03637318|814|Lampe|Lamp|lampshade, lamp shade
n04599235|815|Wolle|Wool|wool, woolen, woollen
n07802026|816|Heu|Hay|hay
n02883205|817|Krawatte|Necktie|bow tie, bow-tie, bowtie
n03709823|818|Postbeutel|Mailbag|mailbag, postbag
n04560804|819|Wasserkrug|Water jug|water jug
n02909870|820|Eimer|Bucket|bucket, pail
n03207743|821|Lappen|Dishcloth|dishrag, dishcloth
n04263257|822|Schüssel|Bowl|soup bowl
n07932039|823|Eggnog|Eggnog|eggnog
n03786901|824|Mörser|Mortar|mortar
n04479046|825|Kleidungsstück|Clothing|trench coat
n03873416|826|Paddel|Paddle|paddle, boat paddle
n02999410|827|Kette|Chain|chain
n04367480|828|Abstrich|Mop|swab, swob, mop
n03775546|829|Schüssel|Bowl|mixing bowl
n07875152|830|Fleischpastete|Meat pie|potpie
n04591713|831|Wein|Wine|wine bottle
n04201297|832|Shoji|Shoji|shoji
n02916936|833|Kugelsichere Weste|Bulletproof vest|bulletproof vest
n03240683|834|Bohrinsel|Oil platform|drilling platform, offshore rig
n02840245|835|Ordner|File|binder, ring-binder
n02963159|836|Kleidungsstück|Clothing|cardigan
n04370456|837|Kleidungsstück|Clothing|sweatshirt
n03991062|838|Blumentopf|Flowerpot|pot, flowerpot
n02843684|839|Vogelhaus|Birdhouse|birdhouse
n03482405|840|Korb|Basket|hamper
n03942813|841|Ball|Ball|ping-pong ball
n03908618|842|Stiftebox|Pencil case|pencil box, pencil case
n03902125|843|Telefon|Telephone|pay-phone, pay-station
n07584110|844|Brühe|Broth|consomme
n02730930|845|Schürze|Apron|apron
n04023962|846|Boxsack|Punching bag|punching bag, punch bag, punching ball, punchball
n02769748|847|Rucksack|Backpack|backpack, back pack, knapsack, packsack, rucksack, haversack
n10148035|848|Bräutigam|Bridegroom|groom, bridegroom
n02817516|849|Bärenfell|Fur cap|bearskin, busby, shako
n03908714|850|Bleistiftspitzer|Pencil sharpener|pencil sharpener
n02906734|851|Besen|Broom|broom
n03788365|852|Netz|Mosquito net|mosquito net
n02667093|853|Kleidungsstück|Clothing|abaya
n03787032|854|Doktorhut|Graduate cap|mortarboard
n03980874|855|Kleidungsstück|Clothing|poncho
n03141823|856|Krücke|Crutch|crutch
n03976467|857|Kamera|Camera|Polaroid camera, Polaroid Land camera
n04264628|858|Leertaste|Space bar|space bar
n07930864|859|Tasse|Cup|cup
n04039381|860|Schläger|Racquet|racket, racquet
n06874185|861|Ampel|Traffic light|traffic light, traffic signal, stoplight
n04033901|862|Feder|Quill|quill, quill pen
n04041544|863|Radio|Radio|radio, wireless
n07860988|864|Teig|Dough|dough
n03146219|865|Brustpanzer|Breastplate|cuirass
n03763968|866|Uniform|Military uniform|military uniform
n03676483|867|Lippenstift|Lipstick|lipstick, lip rouge
n04209133|868|Duschhaube|Shower cap|shower cap
n03782006|869|Monitor|Monitor|monitor
n03857828|870|Oszilloskop|Oscilloscope|oscilloscope, scope, cathode-ray oscilloscope, CRO
n03775071|871|Handschuh|Mitten|mitten
n02892767|872|Kleidungsstück|Clothing|brassiere, bra, bandeau
n07684084|873|Baguette|Baguette|French loaf
n04522168|874|Vase|Vase|vase
n03764736|875|Milchkanne|Milk can|milk can
n04118538|876|Ball|Ball|rugby ball
n03887697|877|Tuch|Paper towel|paper towel
n13044778|878|Pilz|Mushroom|earthstar
n03291819|879|Umschlag|Envelope|envelope
n03770439|880|Kleidungsstück|Clothing|miniskirt, mini
n03124170|881|Hut|Hat|cowboy hat, ten-gallon hat
n04487081|882|Bus|Bus|trolleybus, trolley coach, trackless trolley
n03916031|883|Parfüm|Perfume|perfume, essence
n02808440|884|Badewanne|Bathtub|bathtub, bathing tub, bath, tub
n07697537|885|Hotdog|Hotdog|hotdog, hot dog, red hot
n12985857|886|Pilz|Mushroom|coral fungus
n02917067|887|Zug|Train|bullet train, bullet
n03938244|888|Kissen|Pillow|pillow
n15075141|889|Toilettenpapier|Poilet paper|toilet tissue, toilet paper, bathroom tissue
n02978881|890|Kassette|Cassette|cassette
n02966687|891|Werkzeug|Tool kit|carpenter's kit, tool kit
n03633091|892|Kelle|Ladle|ladle
n13040303|893|Pilz|Mushroom|stinkhorn, carrion fungus
n03690938|894|Creme|Lotion|lotion
n03476991|895|Haarspray|Hair spray|hair spray
n02669723|896|Talar|Academic dress|academic gown, academic robe, judge's robe
n03220513|897|Kuppel|Dome|dome
n03127925|898|Kiste|Crate|crate
n04584207|899|Perrücke|Wig|wig
n07880968|900|Burrito|Burrito|burrito
n03937543|901|Tabletten|Pill bottle|pill bottle
n03000247|902|Rüstung|Chain mail|chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
n04418357|903|Vorhang|Theatre curtain|theater curtain, theatre curtain
n04590129|904|Fensterschatten|Window shade|window shade
n02795169|905|Fass|Barrel|Barrel, cask
n04553703|906|Waschbecken|Washbasin|washbasin, handbasin, washbowl, lavabo, wash-hand basin
n02783161|907|Stift|Pen|ballpoint, ballpoint pen, ballpen, Biro
n02802426|908|Ball|Ball|basketball
n02808304|909|Handtuch|Towel|bath towel
n03124043|910|Schuh|Shoe|cowboy boot
n03450230|911|Kleidungsstück|Clothing|gown
n04589890|912|Fensterscheibe|Window screen|window screen
n12998815|913|Pilz|Mushroom|agaric
n02992529|914|Handy|Mobile phone|cellular telephone, cellular phone, cellphone, cell, mobile phone
n03825788|915|Schnuller|Pacifier|nipple
n02790996|916|Hantel|Barbell|barbell
n03710193|917|Briefkasten|Mailbox|mailbox, letter box
n03630383|918|Laborkittel|Lab coat|lab coat, laboratory coat
n03347037|919|Kaminschirm|Fire screen|fire screen, fireguard
n03769881|920|Bus|Bus|minibus
n03871628|921|Paket|Packet|packet
n03733281|922|Labyrinth|Maze|maze, labyrinth
n03976657|923|Stange|Pole|pole
n03535780|924|Gymnastikstange|Gymnastics bar|horizontal bar, high bar
n04259630|925|Hut|Hat|sombrero
n03929855|926|Helm|Helmet|pickelhaube
n04049303|927|Fass|Barrel|rain barrel
n04548362|928|Geldbeutel|Purse|wallet, billfold, notecase, pocketbook
n02979186|929|Kassettenspieler|Cassette player|cassette player
n06596364|930|Buch|Book|comic book
n03935335|931|Sparschwein|Piggy bank|piggy bank, penny bank
n06794110|932|Straßenschild|Street sign|street sign
n02825657|933|Glocke|Bellcote|bell cote, bell cot
n03388183|934|Stift|Pen|fountain pen
n04591157|935|Krawatte|Necktie|Windsor tie
n04540053|936|Ball|Ball|volleyball
n03866082|937|Kleidungsstück|Clothing|overskirt
n04136333|938|Kleidungsstück|Clothing|sarong
n04026417|939|Geldbeutel|Purse|purse
n02865351|940|Krawatte|Necktie|bolo tie, bolo, bola tie, bola
n02834397|941|Lätzchen|Bib|bib
n03888257|942|Fallschirm|Parachute|parachute, chute
n04235860|943|Schlafsack|Sleeping bag|sleeping bag
n04404412|944|Fernsehen|Television|television, television system
n04371430|945|Badekleidung|Swimwear|swimming trunks, bathing trunks
n03733805|946|Messbecher|Measuring cup|measuring cup
n07920052|947|Espresso|Espresso|espresso
n07873807|948|Pizza|Pizza|pizza, pizza pie
n02895154|949|Brustpanzer|Breastplate|breastplate, aegis, egis
n04204238|950|Einkaufskorb|Shopping basket|shopping basket
n04597913|951|Holzlöffel|Wooden spoon|wooden spoon
n04131690|952|Salzstreuer|Saltshaker|saltshaker, salt shaker
n07836838|953|Schokoladensauce|Chocolate syrup|chocolate sauce, chocolate syrup
n09835506|954|Ballspieler|Ballplayer|ballplayer, baseball player
n03443371|955|Kelch|Goblet|goblet
n13037406|956|Pilz|Mushroom|gyromitra
n04336792|957|Trage|Stretcher|stretcher
n04557648|958|Wasserflasche|Water bottle|water bottle
n03187595|959|Telefon|Telephone|dial telephone, dial phone
n04254120|960|Seifenspender|Soap dispenser|soap dispenser
n03595614|961|Kleidungsstück|Clothing|jersey, T-shirt, tee shirt
n04146614|962|Bus|Bus|school bus
n03598930|963|Puzzle|Jigsaw puzzle|jigsaw puzzle
n03958227|964|Tüte|Plastic bag|plastic bag
n04069434|965|Kamera|Camera|reflex camera
n03188531|966|Windel|Diaper|diaper, nappy, napkin
n02786058|967|Pflaster|Medical plaster|Band Aid
n07615774|968|Eis|Ice cream|ice lolly, lolly, lollipop, popsicle
n04525038|969|Samt|Velvet|velvet
n04409515|970|Ball|Ball|tennis ball
n03424325|971|Gasmaske|Gasmask|gasmask, respirator, gas helmet
n03223299|972|Fußabstreifer|Doormat|doormat, welcome mat
n03680355|973|Schuh|Shoe|Loafer
n07614500|974|Eis|Ice cream|ice cream, icecream
n07695742|975|Brezel|Pretzel|pretzel
n04033995|976|Quilt|Quilt|quilt, comforter, comfort, puff
n03710721|977|Badekleidung|Swimwear|maillot, tank suit
n04392985|978|Kassettenspieler|Cassette player|tape player
n03047690|979|Schuh|Shoe|clog, geta, patten, sabot
n03584254|980|iPod|iPod|iPod
n13054560|981|Pilz|Mushroom|bolete
n10565667|982|Taucher|Scuba diver|scuba diver
n03950228|983|Wasserkrug|Water jug|pitcher, ewer
n03729826|984|Streichholz|Matchstick|matchstick
n02837789|985|Badekleidung|Swimwear|bikini, two-piece
n04254777|986|Socke|Sock|sock
n02988304|987|CD-Spieler|CD player|CD player
n03657121|988|Objektivabdeckung|Lens cap|lens cap, lens cover
n04417672|989|Dach|Roof|Thatch, thatched roof
n04523525|990|Gewölbe|Vault|vault
n02815834|991|Becherglas|Beaker|beaker
n09229709|992|Blase|Bubble|bubble
n07697313|993|Burger|Burger|cheeseburger
n03888605|994|Gymnastikstange|Gymnastics bar|parallel bars, bars
n03355925|995|Stange|Pole|flagpole, flagstaff
n03063599|996|Tasse|Cup|coffee mug
n04116512|997|Radiergummi|Rubber|rubber eraser, rubber, pencil eraser
n04325704|998|Stola|Stole|stole
n07831146|999|Carbonara|Carbonara|carbonara
n03255030|1000|Hantel|Dumbbell|dumbbell
