old_label,new_label
kit fox,Fuchs
English setter,Hund
Siberian husky,Hund
Australian terrier,Hund
English springer,Hund
grey whale,Wal
lesser panda,Bär
Egyptian cat,Katze
ibex,Steinbock
Persian cat,Katze
cougar,Wildkatze
gazelle,Gazelle
porcupine,Stachelschwein
sea lion,Seelöwe
malamute,Hund
badger,Dachs
Great Dane,Hund
Walker hound,Hund
Welsh springer spaniel,Hund
whippet,Hund
Scottish deerhound,Hund
killer whale,Wal
mink,Marder
African elephant,Elefant
Weimaraner,Hund
soft-coated wheaten terrier,Hund
Dandie Dinmont,Hund
red wolf,Hund
Old English sheepdog,Hund
jaguar,Wildkatze
otterhound,Hund
bloodhound,Hund
Airedale,Hund
hyena,Hyäne
meerkat,Erdmännchen
giant schnauzer,Hund
titi,Affe
three-toed sloth,Faultier
sorrel,Sauerampfer
black-footed ferret,Marder
dalmatian,Hund
black-and-tan coonhound,Hund
papillon,Hund
skunk,Stinktier
Staffordshire bullterrier,Hund
Mexican hairless,Hund
Bouvier des Flandres,Hund
weasel,Marder
miniature poodle,Hund
Cardigan,Hund
malinois,Hund
bighorn,Schaf
fox squirrel,Eichhörnchen
colobus,Affe
tiger cat,Wildkatze
Lhasa,Hund
impala,Antilope
coyote,Hund
Yorkshire terrier,Hund
Newfoundland,Hund
brown bear,Bär
red fox,Fuchs
Norwegian elkhound,Hund
Rottweiler,Hund
hartebeest,Antilope
Saluki,Hund
grey fox,Fuchs
schipperke,Hund
Pekinese,Hund
Brabancon griffon,Hund
West Highland white terrier,Hund
Sealyham terrier,Hund
guenon,Affe
mongoose,Manguste
indri,Lemur
tiger,Wildkatze
Irish wolfhound,Hund
wild boar,Wildschwein
EntleBucher,Hund
zebra,Zebra
ram,Schaf
French bulldog,Hund
orangutan,Orang-Utan
basenji,Hund
leopard,Wildkatze
Bernese mountain dog,Hund
Maltese dog,Hund
Norfolk terrier,Hund
toy terrier,Hund
vizsla,Hund
cairn,Hund
squirrel monkey,Affe
groenendael,Hund
clumber,Hund
Siamese cat,Katze
chimpanzee,Affe
komondor,Hund
Afghan hound,Hund
Japanese spaniel,Hund
proboscis monkey,Affe
guinea pig,Meerschweinchen
white wolf,Wolf
ice bear,Bär
gorilla,Gorilla
borzoi,Hund
toy poodle,Hund
Kerry blue terrier,Hund
ox,Ochse
Scotch terrier,Hund
Tibetan mastiff,Hund
spider monkey,Affe
Doberman,Hund
Boston bull,Hund
Greater Swiss Mountain dog,Hund
Appenzeller,Hund
Shih-Tzu,Hund
Irish water spaniel,Hund
Pomeranian,Hund
Bedlington terrier,Hund
warthog,Schwein
Arabian camel,Dromedar
siamang,Affe
miniature schnauzer,Hund
collie,Hund
golden retriever,Hund
Irish terrier,Hund
affenpinscher,Hund
Border collie,Hund
hare,Hase
boxer,Hund
silky terrier,Hund
beagle,Hund
Leonberg,Hund
German short-haired pointer,Hund
patas,Affe
dhole,Rothund
baboon,Affe
macaque,Affe
Chesapeake Bay retriever,Hund
bull mastiff,Hund
kuvasz,Hund
capuchin,Affe
pug,Hund
curly-coated retriever,Hund
Norwich terrier,Hund
flat-coated retriever,Hund
hog,Schwein
keeshond,Hund
Eskimo dog,Hund
Brittany spaniel,Hund
standard poodle,Hund
Lakeland terrier,Hund
snow leopard,Wildkatze
Gordon setter,Hund
dingo,Dingo
standard schnauzer,Hund
hamster,Hamser
Tibetan terrier,Hund
Arctic fox,Fuchs
wire-haired fox terrier,Hund
basset,Hund
water buffalo,Wasserbüffel
American black bear,Bär
Angora,Kaninchen
bison,Bison
howler monkey,Affe
hippopotamus,Nilpferd
chow,Hund
giant panda,Panda
American Staffordshire terrier,Hund
Shetland sheepdog,Hund
Great Pyrenees,Hund
Chihuahua,Hund
tabby,Katze
marmoset,Affe
Labrador retriever,Hund
Saint Bernard,Hund
armadillo,Gürteltier
Samoyed,Hund
bluetick,Hund
redbone,Hund
polecat,Marder
marmot,Murmeltier
kelpie,Hund
gibbon,Affe
llama,Lama
miniature pinscher,Hund
wood rabbit,Hase
Italian greyhound,Hund
lion,Wildkatze
cocker spaniel,Hund
Irish setter,Hund
dugong,Seekuh
Indian elephant,Elefant
beaver,Bieber
Sussex spaniel,Hund
Pembroke,Hund
Blenheim spaniel,Hund
Madagascar cat,Wildkatze
Rhodesian ridgeback,Hund
lynx,Wildkatze
African hunting dog,Hund
langur,Affe
Ibizan hound,Hund
timber wolf,Wolf
cheetah,Wildkatze
English foxhound,Hund
briard,Hund
sloth bear,Bär
Border terrier,Hund
German shepherd,Hund
otter,Otter
koala,Koala
tusker,Elefant
echidna,Igel
wallaby,Känguru
platypus,Schnabeltier
wombat,Wombat
revolver,Revolver
umbrella,Regenschirm
schooner,Schiff
soccer ball,Ball
accordion,Akkordeon
ant,Ameise
starfish,Seestern
chambered nautilus,Gemeines Perlboot
grand piano,Flügel
laptop,Laptop
strawberry,Erdbeere
airliner,Flugzeug
warplane,Flugzeug
airship,Zeppelin
balloon,Ballon
space shuttle,Space Shuttle
fireboat,Boot
gondola,Gondel
speedboat,Boot
lifeboat,Boot
canoe,Boot
yawl,Boot
catamaran,Boot
trimaran,Boot
container ship,Schiff
liner,Schiff
pirate,Boot
aircraft carrier,Schiff
submarine,U-Boot
wreck,Wrack
half track,Halbkettenfahrzeug
tank,Panzer
missile,Rakete
bobsled,Bobschlitten
dogsled,Hundeschlitten
bicycle-built-for-two,Tandemfahrrad
mountain bike,Fahrrad
freight car,Eisenbahnwagen
passenger car,Auto
barrow,Karren
shopping cart,Einkaufswagen
motor scooter,Roller
forklift,Gabelstapler
electric locomotive,Lokomotive
steam locomotive,Lokomotive
amphibian,Amphibienfahrzeug
ambulance,Auto
beach wagon,Bollerwagen
cab,Taxi
convertible,Auto
jeep,Auto
limousine,Limousine
minivan,Auto
Model T,Auto
racer,Rennfahrer
sports car,Auto
go-kart,Go-Kart
golfcart,Golfwagen
moped,Moped
snowplow,Schneepflug
fire engine,Feuerwehrauto
garbage truck,Müllwagen
pickup,Auto
tow truck,Abschleppwagen
trailer truck,Lastkraftwagen
moving van,Auto
police van,Auto
recreational vehicle,Wohnmobil
streetcar,Straßenbahn
snowmobile,Snowmobil
tractor,Traktor
mobile home,Haus
tricycle,Dreirad
unicycle,Einrad
horse cart,Pferdewagen
jinrikisha,Rikscha
oxcart,Karren
bassinet,Babykorb
cradle,Wiege
crib,Kinderbett
four-poster,Bett
bookcase,Bücherregal
china cabinet,Regal
medicine chest,Hausapotheke
chiffonier,Schrank
table lamp,Lampe
file,Ordner
park bench,Parkbank
barber chair,Stuhl
throne,Thron
folding chair,Stuhl
rocking chair,Stuhl
studio couch,Sofa
toilet seat,Toilette
desk,Tisch
pool table,Billardtisch
dining table,Tisch
entertainment center,Unterhaltungszentrum
wardrobe,Kleiderschrank
Granny Smith,Apfel
orange,Orange
lemon,Zitrone
fig,Feige
pineapple,Ananas
banana,Banane
jackfruit,Jackfrucht
custard apple,Apfel
pomegranate,Granatapfel
acorn,Eichel
hip,Hüfte
ear,Ohr
rapeseed,Raps
corn,Mais
buckeye,Kastanie
organ,Organ
upright,senkrecht
chime,Glockenspiel
drum,Trommel
gong,Gong
maraca,Maraca
marimba,Marimba
steel drum,Stahltrommel
banjo,Banjo
cello,Cello
violin,Violine
harp,Harfe
acoustic guitar,Guitarre
electric guitar,Guitarre
cornet,Blechblasinstrument
French horn,Blechblasinstrument
trombone,Blechblasinstrument
harmonica,Mundharmonika
ocarina,Okarina
panpipe,Panflöte
bassoon,Holzblasinstrument
oboe,Holzblasinstrument
sax,Blechblasinstrument
flute,Flöte
daisy,Blume
yellow lady's slipper,Blume
cliff,Klippe
valley,Tal
alp,Alm
volcano,Vulkan
promontory,Vorgebirge
sandbar,Sandbank
coral reef,Korallenriff
lakeside,Seeufer
seashore,Strand
geyser,Geysir
hatchet,Axt
cleaver,Axt
letter opener,Brieföffner
plane,Hobel
power drill,Bohrmaschine
lawn mower,Rasenmäher
hammer,Hammer
corkscrew,Korkenzieher
can opener,Dosenöffner
plunger,Stempel
screwdriver,Schraubenzieher
shovel,Schaufel
plow,Pflug
chain saw,Kettensäge
cock,Vogel
hen,Vogel
ostrich,Vogel
brambling,Vogel
goldfinch,Vogel
house finch,Vogel
junco,Vogel
indigo bunting,Vogel
robin,Vogel
bulbul,Vogel
jay,Vogel
magpie,Vogel
chickadee,Vogel
water ouzel,Vogel
kite,Vogel
bald eagle,Vogel
vulture,Vogel
great grey owl,Vogel
black grouse,Vogel
ptarmigan,Vogel
ruffed grouse,Vogel
prairie chicken,Vogel
peacock,Vogel
quail,Vogel
partridge,Vogel
African grey,Vogel
macaw,Vogel
sulphur-crested cockatoo,Vogel
lorikeet,Vogel
coucal,Vogel
bee eater,Vogel
hornbill,Vogel
hummingbird,Vogel
jacamar,Vogel
toucan,Vogel
drake,Vogel
red-breasted merganser,Vogel
goose,Vogel
black swan,Vogel
white stork,Vogel
black stork,Vogel
spoonbill,Vogel
flamingo,Vogel
American egret,Vogel
little blue heron,Vogel
bittern,Vogel
crane,Vogel
limpkin,Vogel
American coot,Vogel
bustard,Vogel
ruddy turnstone,Vogel
red-backed sandpiper,Vogel
redshank,Vogel
dowitcher,Vogel
oystercatcher,Vogel
European gallinule,Vogel
pelican,Vogel
king penguin,Vogel
albatross,Vogel
great white shark,Hai
tiger shark,Hai
hammerhead,Hai
electric ray,Rochen
stingray,Rochen
barracouta,Fisch
coho,Fisch
tench,Fisch
goldfish,Fisch
eel,Aal
rock beauty,Fisch
anemone fish,Fisch
lionfish,Fisch
puffer,Fisch
sturgeon,Fisch
gar,Fisch
loggerhead,Schildkröte
leatherback turtle,Schildkröte
mud turtle,Schildkröte
terrapin,Schildkröte
box turtle,Schildkröte
banded gecko,Echse
common iguana,Echse
American chameleon,Echse
whiptail,Echse
agama,Echse
frilled lizard,Echse
alligator lizard,Echse
Gila monster,Echse
green lizard,Echse
African chameleon,Echse
Komodo dragon,Echse
triceratops,Dinosaurier
African crocodile,Krokodil
American alligator,Alligator
thunder snake,Schlange
ringneck snake,Schlange
hognose snake,Schlange
green snake,Schlange
king snake,Schlange
garter snake,Schlange
water snake,Schlange
vine snake,Schlange
night snake,Schlange
boa constrictor,Schlange
rock python,Schlange
Indian cobra,Schlange
green mamba,Schlange
sea snake,Schlange
horned viper,Schlange
diamondback,Schlange
sidewinder,Schlange
European fire salamander,Salamander
common newt,Salamander
eft,Salamander
spotted salamander,Salamander
axolotl,Axolotl
bullfrog,Frosch
tree frog,Frosch
tailed frog,Frosch
whistle,Pfeife
wing,Flügel
paintbrush,Pinsel
hand blower,Handgebläse
oxygen mask,Sauerstoffmaske
snorkel,Schnorchen
loudspeaker,Lautsprecher
microphone,Mikrofon
screen,Bildschirm
mouse,Maus
electric fan,Ventilator
oil filter,Ölfilter
strainer,Sieb
space heater,Heizung
stove,Ofen
guillotine,Guillotine
barometer,Barometer
rule,Lineal
odometer,Kilometerzähler
scale,Waage
analog clock,Uhr
digital clock,Uhr
wall clock,Uhr
hourglass,Uhr
sundial,Uhr
parking meter,Parkuhr
stopwatch,Stoppuhr
digital watch,Uhr
stethoscope,Stethoskop
syringe,Spritze
magnetic compass,Kompass
binoculars,Fernglas
projector,Beamer
sunglasses,Sonnenbrille
loupe,Lupe
radio telescope,Radioteleskop
bow,Bogen
cannon,Kanone
assault rifle,Gewehr
rifle,Gewehr
projectile,Projektil
computer keyboard,Tastatur
typewriter keyboard,Tastatur
crane,Kran
lighter,Feuerzeug
abacus,Abakus
cash machine,Geldautomat
slide rule,Rechenschieber
desktop computer,Computer
hand-held computer,Computer
notebook,Computer
web site,Website
harvester,Mähdrescher
thresher,Dreschmaschine
printer,Drucker
slot,Spielautomat
vending machine,Verkaufsautomat
sewing machine,Nähmaschine
joystick,Joystick
switch,Schalter
hook,Haken
car wheel,Reifen
paddlewheel,Rad
pinwheel,Windrad
potter's wheel,Drehscheibe
gas pump,Zapfsäule
carousel,Karussell
swing,Schaukel
reel,Spule
radiator,Kühler
puck,Puck
hard disc,Festplatte
sunglass,Sonnenbrille
pick,Plektron
car mirror,Spiegel
solar dish,Solarschale
remote control,Fernbedienung
disk brake,Bremse
buckle,Schnalle
hair slide,Haarspange
knot,Knoten
combination lock,Schloss
padlock,Schloss
nail,Nagel
safety pin,Sicherheitsnadel
screw,Schraube
muzzle,Mündung
seat belt,Sicherheitsgurt
ski,Ski
candle,Kerze
jack-o'-lantern,Laterne
spotlight,Scheinwerferlicht
torch,Taschenlampe
neck brace,Halskrause
pier,Pier
tripod,Dreibein
maypole,Maibaum
mousetrap,Mausefalle
spider web,Spinnennetz
trilobite,Trilobit
harvestman,Weberknecht
scorpion,Skorpion
black and gold garden spider,Spinne
barn spider,Spinne
garden spider,Spinne
black widow,Spinne
tarantula,Spinne
wolf spider,Spinne
tick,Zecke
centipede,Hundertfüßer
isopod,Assel
Dungeness crab,Krebs
rock crab,Krebs
fiddler crab,Krebs
king crab,Krebs
American lobster,Hummer
spiny lobster,Hummer
crayfish,Krebs
hermit crab,Krebs
tiger beetle,Käfer
ladybug,Käfer
ground beetle,Käfer
long-horned beetle,Käfer
leaf beetle,Käfer
dung beetle,Käfer
rhinoceros beetle,Käfer
weevil,Käfer
fly,Fliege
bee,Biene
grasshopper,Heuschrecke
cricket,Heuschrecke
walking stick,Gehstock
cockroach,Küchenschabe
mantis,Gottesanbeterin
cicada,Zikade
leafhopper,Zikade
lacewing,Fliege
dragonfly,Libelle
damselfly,Libelle
admiral,Schmetterling
ringlet,Schmetterling
monarch,Schmetterling
cabbage butterfly,Schmetterling
sulphur butterfly,Schmetterling
lycaenid,Schmetterling
jellyfish,Qualle
sea anemone,Seeanemone
brain coral,Koralle
flatworm,Wurm
nematode,Wurm
conch,Muschel
snail,Schnecke
slug,Schnecke
sea slug,Schnecke
chiton,Schnecke
sea urchin,Seeigel
sea cucumber,Seegurke
iron,Bügeleisen
espresso maker,Kaffeemaschine
microwave,Mikrowelle
Dutch oven,Topf
rotisserie,Drehspieß
toaster,Toaster
waffle iron,Waffeleisen
vacuum,Staubsauger
dishwasher,Geschirrspülmaschine
refrigerator,Kühlschrank
washer,Waschmaschine
Crock Pot,Topf
frying pan,Pfanne
wok,Wok
caldron,Kessel
coffeepot,Kaffeekanne
teapot,Teekanne
spatula,Spachtel
altar,Altar
triumphal arch,Triumphbogen
patio,Terrasse
steel arch bridge,Brücke
suspension bridge,Brücke
viaduct,Brücke
barn,Scheune
greenhouse,Gewächshaus
palace,Palast
monastery,Kloster
library,Bücherei
apiary,Bienenstock
boathouse,Bootshaus
church,Kirche
mosque,Moschee
stupa,Stupa
planetarium,Planetarium
restaurant,Restaurant
cinema,Kino
home theater,Kino
lumbermill,Sägewerk
coil,Spule
obelisk,Obelisk
totem pole,Totempfahl
castle,Schloss
prison,Gefängnis
grocery store,Lebensmittelmarkt
bakery,Bäckerei
barbershop,Friseurgeschäft
bookshop,Buchgeschäft
butcher shop,Metzgerei
confectionery,Süßwarengeschäft
shoe shop,Schuhgeschäft
tobacco shop,Tabakgeschäft
toyshop,Spielwarenladen
fountain,Brunnen
cliff dwelling,Felsenbehausung
yurt,Jurte
dock,Dock
brass,Messing
megalith,Megalith
bannister,Geländer
breakwater,Wellenbrecher
dam,Damm
chainlink fence,Zaun
picket fence,Zaun
worm fence,Zaun
stone wall,Mauer
grille,Gitter
sliding door,Tür
turnstile,Drehkreuz
mountain tent,Zelt
scoreboard,Anzeigetafel
honeycomb,Bienenwabe
plate rack,Geschirrständer
pedestal,Sockel
beacon,Leuchtfeuer
mashed potato,Kartoffelpüree
bell pepper,Paprika
head cabbage,Kohlkopf
broccoli,Brokkoli
cauliflower,Blumenkohl
zucchini,Zucchini
spaghetti squash,Kürbis
acorn squash,Kürbis
butternut squash,Kürbis
cucumber,Gurke
artichoke,Artischocke
cardoon,Artischocke
mushroom,Pilz
shower curtain,Duschvorhang
jean,Jeans
carton,Karton
handkerchief,Taschentuch
sandal,Sandale
ashcan,Aschenbecher
safe,Tresor
plate,Teller
necklace,Halskette
croquet ball,Krocketball
fur coat,Pelzmantel
thimble,Fingerhut
pajama,Schlafanzug
running shoe,Schuh
cocktail shaker,Cocktail shaker
chest,Truhe
manhole cover,Kanaldeckel
modem,Modem
tub,Wanne
tray,Tablett
balance beam,Schwebebalken
bagel,Bagel
prayer rug,Gebetsteppich
kimono,Kleidungsstück
hot pot,Feuertopf
whiskey jug,Whiskey
knee pad,Knieschoner
book jacket,Buch
spindle,Spindel
ski mask,Sturmhaube
beer bottle,Bierflasche
crash helmet,Helm
bottlecap,Flaschenverschluss
tile roof,Dach
mask,Maske
maillot,Jersey
Petri dish,Petrischale
football helmet,Helm
bathing cap,Bademütze
teddy,Teddy
holster,Holster
pop bottle,Korken
photocopier,Drucker
vestment,Kleidungsstück
crossword puzzle,Kreuzworträtsel
golf ball,Ball
trifle,Dessert
suit,Kleidungsstück
water tower,Wasserturm
feather boa,Kleidungsstück
cloak,Kleidungsstück
red wine,Wein
drumstick,Drumstick
shield,Schild
Christmas stocking,Weihnachtsstrumpf
hoopskirt,Kleidungsstück
menu,Speisekarte
stage,Bühne
bonnet,Motorhaube
meat loaf,Fleisch
baseball,Ball
face powder,Puder
scabbard,Scheide
sunscreen,Sonnencreme
beer glass,Glas
hen-of-the-woods,Pilz
guacamole,Essen
lampshade,Lampe
wool,Wolle
hay,Heu
bow tie,Krawatte
mailbag,Postbeutel
water jug,Flasche
bucket,Eimer
dishrag,Lappen
soup bowl,Schüssel
eggnog,Getränk
mortar,Mörser
trench coat,Kleidungsstück
paddle,Paddel
chain,Kette
swab,Abstrich
mixing bowl,Schüssel
potpie,Kuchen
wine bottle,Flasche
shoji,Shoji
bulletproof vest,Kugelsichere Weste
drilling platform,Bohrinsel
binder,Ordner
cardigan,Kleidungsstück
sweatshirt,Kleidungsstück
pot,Topf
birdhouse,Vogelhaus
hamper,Korb
ping-pong ball,Ball
pencil box,Stiftebox
pay-phone,Telefon
consomme,Essen
apron,Kleidungsstück
punching bag,Boxsack
backpack,Rucksack
groom,Bräutigam
bearskin,Bärenfell
pencil sharpener,Bleistiftspitzer
broom,Besen
mosquito net,Netz
abaya,Kleidungsstück
mortarboard,Kleidungsstück
poncho,Kleidungsstück
crutch,Krücke
Polaroid camera,Kamera
space bar,Leertaste
cup,Tasse
racket,Schläger
traffic light,Ampel
quill,Feder
radio,Radio
dough,Teig
cuirass,Brustpanzer
military uniform,Uniform
lipstick,Lippenstift
shower cap,Bademütze
monitor,Monitor
oscilloscope,Oszilloskop
mitten,Handschuh
brassiere,Kleidungsstück
French loaf,Baguette
vase,Vase
milk can,Milchkanne
rugby ball,Ball
paper towel,Tuch
earthstar,Pilz
envelope,Umschlag
miniskirt,Kleidungsstück
cowboy hat,Hut
trolleybus,Bus
perfume,Parfüm
bathtub,Badewanne
hotdog,Hotdog
coral fungus,Pilz
bullet train,Zug
pillow,Kissen
toilet tissue,Toilettenpapier
cassette,Kassette
carpenter's kit,Werkzeug
ladle,Kelle
stinkhorn,Pilz
lotion,Creme
hair spray,Haarspray
academic gown,Kleidungsstück
dome,Kuppel
crate,Kiste
wig,Perrücke
burrito,Burrito
pill bottle,Tabletten
chain mail,Rüstung
theater curtain,Vorhang
window shade,Fensterschatten
barrel,Fass
washbasin,Waschbecken
ballpoint,Stift
basketball,Ball
bath towel,Handtuch
cowboy boot,Schuh
gown,Kleidungsstück
window screen,Fenster
agaric,Pilz
cellular telephone,Handy
nipple,Nippel
barbell,Hantel
mailbox,Briefkasten
lab coat,Laborkittel
fire screen,Kaminschirm
minibus,Bus
packet,Paket
maze,Labyrinth
pole,Stange
horizontal bar,Stange
sombrero,Hut
pickelhaube,Helm
rain barrel,Fass
wallet,Geldbeutel
cassette player,Kassettenspieler
comic book,Buch
piggy bank,Sparschwein
street sign,Straßenschild
bell cote,Glocke
fountain pen,Stift
Windsor tie,Krawatte
volleyball,Ball
overskirt,Kleidungsstück
sarong,Kleidungsstück
purse,Geldbeutel
bolo tie,Kette
bib,Lätzchen
parachute,Fallschirm
sleeping bag,Schlafsack
television,Fernsehen
swimming trunks,Badehose
measuring cup,Messbecher
espresso,Getränk
pizza,Pizza
breastplate,Brustpanzer
shopping basket,Einkaufskorb
wooden spoon,Holzlöffel
saltshaker,Salzstreuer
chocolate sauce,Schokoladensauce
ballplayer,Ballspieler
goblet,Kelch
gyromitra,Pilz
stretcher,Trage
water bottle,Flasche
dial telephone,Telefon
soap dispenser,Seifenspender
jersey,Kleidungsstück
school bus,Bus
jigsaw puzzle,Puzzle
plastic bag,Tüte
reflex camera,Kamera
diaper,Windel
Band Aid,Pflaster
ice lolly,Eis
velvet,Samt
tennis ball,Ball
gasmask,Gasmaske
doormat,Fußabstreifer
Loafer,Schuh
ice cream,Eis
pretzel,Brezel
quilt,Quilt
maillot,Kleidungsstück
tape player,Kassettenspieler
clog,Schuh
iPod,iPod
bolete,Pilz
scuba diver,Taucher
pitcher,Ballspieler
matchstick,Streichholz
bikini,Bikini
sock,Socke
CD player,CD-Spieler
lens cap,Objektivabdeckung
thatch,Stroh
vault,Tresor
beaker,Becherglas
bubble,Blase
cheeseburger,Burger
parallel bars,Barren
flagpole,Stange
coffee mug,Tasse
rubber eraser,Radiergummi
stole,Kleidungsstück
carbonara,Essen
dumbbell,Hantel
